Start epoch 0/20				
--------------------				
Test: [50/97]	Acc@1   0.30	IoU   0.31	AP50   0.35	
Start epoch 4/20				
--------------------				
Epoch: [4][  0/695]	Loss 2.6949e+00	Acc@1   0.42	IoU   0.43	AP50   0.50
Epoch: [4][ 50/695]	Loss 2.6835e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [4][100/695]	Loss 2.7055e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [4][150/695]	Loss 2.7114e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][200/695]	Loss 2.7137e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][250/695]	Loss 2.7124e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][300/695]	Loss 2.7108e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [4][350/695]	Loss 2.7122e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [4][400/695]	Loss 2.7111e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [4][450/695]	Loss 2.7084e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][500/695]	Loss 2.7054e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][550/695]	Loss 2.7061e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [4][600/695]	Loss 2.7051e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][650/695]	Loss 2.7063e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.34	
Start epoch 5/20				
--------------------				
Epoch: [5][  0/695]	Loss 2.6991e+00	Acc@1   0.55	IoU   0.49	AP50   0.58
Epoch: [5][ 50/695]	Loss 2.6768e+00	Acc@1   0.39	IoU   0.41	AP50   0.47
Epoch: [5][100/695]	Loss 2.6940e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [5][150/695]	Loss 2.6874e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [5][200/695]	Loss 2.6898e+00	Acc@1   0.39	IoU   0.40	AP50   0.46
Epoch: [5][250/695]	Loss 2.6933e+00	Acc@1   0.39	IoU   0.40	AP50   0.46
Epoch: [5][300/695]	Loss 2.6931e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [5][350/695]	Loss 2.6965e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][400/695]	Loss 2.6968e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][450/695]	Loss 2.6964e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [5][500/695]	Loss 2.6946e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][550/695]	Loss 2.6951e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][600/695]	Loss 2.6967e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][650/695]	Loss 2.6958e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.31	IoU   0.31	AP50   0.35	
Start epoch 6/20				
--------------------				
Epoch: [6][  0/695]	Loss 2.7908e+00	Acc@1   0.09	IoU   0.13	AP50   0.17
Epoch: [6][ 50/695]	Loss 2.7034e+00	Acc@1   0.36	IoU   0.36	AP50   0.42
Epoch: [6][100/695]	Loss 2.6913e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [6][150/695]	Loss 2.6948e+00	Acc@1   0.37	IoU   0.38	AP50   0.44
Epoch: [6][200/695]	Loss 2.6987e+00	Acc@1   0.37	IoU   0.38	AP50   0.44
Epoch: [6][250/695]	Loss 2.6935e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [6][300/695]	Loss 2.6916e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [6][350/695]	Loss 2.6881e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [6][400/695]	Loss 2.6873e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [6][450/695]	Loss 2.6879e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [6][500/695]	Loss 2.6885e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [6][550/695]	Loss 2.6906e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [6][600/695]	Loss 2.6879e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [6][650/695]	Loss 2.6878e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.35	
Start epoch 7/20				
--------------------				
Epoch: [7][  0/695]	Loss 2.6694e+00	Acc@1   0.50	IoU   0.62	AP50   0.67
Epoch: [7][ 50/695]	Loss 2.6750e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [7][100/695]	Loss 2.6758e+00	Acc@1   0.39	IoU   0.38	AP50   0.44
Epoch: [7][150/695]	Loss 2.6776e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][200/695]	Loss 2.6748e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][250/695]	Loss 2.6756e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][300/695]	Loss 2.6776e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][350/695]	Loss 2.6822e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][400/695]	Loss 2.6833e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][450/695]	Loss 2.6827e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][500/695]	Loss 2.6831e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][550/695]	Loss 2.6824e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][600/695]	Loss 2.6813e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [7][650/695]	Loss 2.6803e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.31	IoU   0.31	AP50   0.35	
Start epoch 8/20				
--------------------				
Epoch: [8][  0/695]	Loss 2.5891e+00	Acc@1   0.58	IoU   0.61	AP50   0.75
Epoch: [8][ 50/695]	Loss 2.6816e+00	Acc@1   0.36	IoU   0.38	AP50   0.45
Epoch: [8][100/695]	Loss 2.6712e+00	Acc@1   0.36	IoU   0.38	AP50   0.44
Epoch: [8][150/695]	Loss 2.6697e+00	Acc@1   0.36	IoU   0.37	AP50   0.44
Epoch: [8][200/695]	Loss 2.6716e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [8][250/695]	Loss 2.6724e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [8][300/695]	Loss 2.6711e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [8][350/695]	Loss 2.6710e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [8][400/695]	Loss 2.6713e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [8][450/695]	Loss 2.6721e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [8][500/695]	Loss 2.6751e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [8][550/695]	Loss 2.6735e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [8][600/695]	Loss 2.6745e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
